Punkt	X	Y	Z
0	-0.25 cm	-0.69 cm	0 cm
1	-0.25 cm	-0.691 cm	0 cm
2	-0.25 cm	-0.693 cm	0 cm
3	-0.249 cm	-0.694 cm	0 cm
4	-0.248 cm	-0.696 cm	0 cm
5	-0.247 cm	-0.698 cm	0 cm
6	-0.245 cm	-0.699 cm	0 cm
7	-0.243 cm	-0.699 cm	0 cm
8	-0.241 cm	-0.7 cm	0 cm
9	-0.24 cm	-0.7 cm	0 cm
10	0.24 cm	-0.7 cm	0 cm
11	0.243 cm	-0.7 cm	0 cm
12	0.246 cm	-0.698 cm	0 cm
13	0.248 cm	-0.696 cm	0 cm
14	0.249 cm	-0.694 cm	0 cm
15	0.25 cm	-0.692 cm	0 cm
16	0.25 cm	-0.69 cm	0 cm
17	0.25 cm	-0.21 cm	0 cm
18	0.25 cm	-0.208 cm	0 cm
19	0.249 cm	-0.206 cm	0 cm
20	0.249 cm	-0.205 cm	0 cm
21	0.247 cm	-0.203 cm	0 cm
22	0.246 cm	-0.202 cm	0 cm
23	0.245 cm	-0.201 cm	0 cm
24	0.243 cm	-0.201 cm	0 cm
25	0.242 cm	-0.2 cm	0 cm
26	0.24 cm	-0.2 cm	0 cm
27	-0.24 cm	-0.2 cm	0 cm
28	-0.242 cm	-0.2 cm	0 cm
29	-0.243 cm	-0.201 cm	0 cm
30	-0.245 cm	-0.201 cm	0 cm
31	-0.246 cm	-0.202 cm	0 cm
32	-0.248 cm	-0.203 cm	0 cm
33	-0.249 cm	-0.205 cm	0 cm
34	-0.249 cm	-0.207 cm	0 cm
35	-0.25 cm	-0.208 cm	0 cm
36	-0.25 cm	-0.21 cm	0 cm
